EmployeeID,Name,Department,City,Age,YearsExperience,Salary,PerformanceScore
1001,Employee_1,Engineering,Multan,23.0,6.0,57913.0,76.3
1002,Employee_2,Finance,Lahore,42.0,19.0,113145.0,84.7
1003,Employee_3,HR,Lahore,35.0,14.0,87663.0,74.9
1004,Employee_4,HR,Multan,31.0,10.0,73729.0,62.4
1005,Employee_5,Sales,Islamabad,30.0,7.0,65771.0,60.2
1006,Employee_6,Finance,Karachi,28.0,6.0,54551.0,70.4
1007,Employee_7,Marketing,Faisalabad,40.0,18.0,106782.0,88.0
1008,Employee_8,Engineering,Karachi,28.0,10.0,80066.0,81.2
1009,Employee_9,Sales,Multan,30.0,10.0,76509.0,67.0
1010,Employee_10,HR,Lahore,28.0,3.0,57105.0,61.8
1011,Employee_11,Marketing,Lahore,29.0,7.0,59193.0,69.9
1012,Employee_12,Marketing,Faisalabad,21.0,2.0,54375.0,74.7
1013,Employee_13,Engineering,Lahore,21.0,1.0,40577.0,61.9
1014,Employee_14,HR,Lahore,31.0,11.0,73380.0,82.5
1015,Employee_15,Finance,,,5.0,,
1016,Employee_16,Marketing,Faisalabad,22.0,1.0,50988.0,68.1
1017,Employee_17,Engineering,Multan,,0.0,,
1018,Employee_18,Finance,Lahore,33.0,11.0,74770.0,74.2
1019,Employee_19,HR,Lahore,34.0,11.0,73320.0,67.1
1020,Employee_20,Marketing,Multan,37.0,16.0,95580.0,77.6
1021,Employee_21,Finance,Islamabad,30.0,9.0,63520.0,79.7
1022,Employee_22,Finance,Islamabad,36.0,15.0,87299.0,83.3
1023,Employee_23,Finance,Islamabad,37.0,14.0,95172.0,74.2
1024,Employee_24,Marketing,Multan,36.0,14.0,94293.0,74.7
1025,Employee_25,Marketing,Lahore,42.0,18.0,102486.0,71.2
1026,Employee_26,Sales,Multan,31.0,11.0,76637.0,81.9
1027,Employee_27,HR,Multan,39.0,19.0,106734.0,88.1
1028,Employee_28,Engineering,Islamabad,26.0,2.0,56392.0,61.6
1029,Employee_29,Finance,Karachi,24.0,4.0,55620.0,66.0
1030,Employee_30,Sales,Lahore,43.0,18.0,106639.0,68.6
1031,Employee_31,Engineering,Islamabad,31.0,6.0,60190.0,64.3
1032,Employee_32,Sales,Karachi,33.0,8.0,68244.0,77.6
1033,Employee_33,Marketing,Karachi,26.0,6.0,63589.0,73.1
1034,Employee_34,Finance,Faisalabad,39.0,17.0,100004.0,82.4
1035,Employee_35,Engineering,Lahore,24.0,3.0,42910.0,63.5
1036,Employee_36,Engineering,Karachi,37.0,13.0,90622.0,80.4
1037,Employee_37,Engineering,Islamabad,42.0,17.0,97039.0,78.7
1038,Employee_38,Engineering,Faisalabad,32.0,8.0,76445.0,59.6
1039,Employee_39,Engineering,Lahore,23.0,1.0,46247.0,61.2
1040,Employee_40,Sales,Multan,40.0,19.0,106784.0,85.2
1041,Employee_41,Finance,Islamabad,37.0,14.0,90757.0,83.5
1042,Employee_42,Marketing,Karachi,26.0,6.0,60566.0,58.6
1043,Employee_43,Marketing,Karachi,34.0,11.0,76554.0,72.5
1044,Employee_44,Marketing,Islamabad,27.0,7.0,65330.0,67.9
1045,Employee_45,Marketing,Karachi,,14.0,92540.0,70.2
1046,Employee_46,Sales,Faisalabad,24.0,2.0,45142.0,65.3
1047,Employee_47,HR,Lahore,34.0,13.0,83011.0,80.1
1048,Employee_48,Finance,Faisalabad,36.0,16.0,94578.0,77.5
1049,Employee_49,Engineering,Karachi,24.0,3.0,54308.0,75.9
1050,Employee_50,HR,Multan,40.0,17.0,105310.0,78.5
1051,Employee_51,Marketing,Lahore,31.0,7.0,65948.0,65.7
1052,Employee_52,HR,Lahore,26.0,3.0,52825.0,60.7
1053,Employee_53,Finance,Islamabad,26.0,1.0,40981.0,56.3
1054,Employee_54,Engineering,Islamabad,32.0,5.0,61007.0,62.6
1055,Employee_55,Engineering,Multan,30.0,9.0,73707.0,62.2
1056,Employee_56,Finance,Lahore,25.0,3.0,47659.0,62.5
1057,Employee_57,Finance,Multan,,17.0,,80.7
1058,Employee_58,Marketing,Islamabad,35.0,11.0,73618.0,59.5
1059,Employee_59,Engineering,Islamabad,26.0,1.0,40823.0,60.6
1060,Employee_60,HR,Lahore,29.0,9.0,76148.0,71.1
1061,Employee_61,Sales,Faisalabad,26.0,3.0,56711.0,66.7
1062,Employee_62,Sales,Karachi,37.0,13.0,83742.0,82.8
1063,Employee_63,Finance,Islamabad,37.0,15.0,90868.0,83.1
1064,Employee_64,Marketing,Islamabad,38.0,14.0,90046.0,73.1
1065,Employee_65,Sales,Faisalabad,29.0,7.0,64549.0,64.0
1066,Employee_66,Engineering,Faisalabad,33.0,13.0,89224.0,79.1
1067,Employee_67,Finance,Multan,31.0,7.0,62407.0,65.1
1068,Employee_68,HR,Multan,40.0,15.0,96297.0,70.6
1069,Employee_69,Finance,Karachi,35.0,12.0,81043.0,88.6
1070,Employee_70,HR,Karachi,37.0,17.0,102916.0,78.5
1071,Employee_71,Finance,Lahore,34.0,14.0,87916.0,73.0
1072,Employee_72,Finance,Multan,32.0,12.0,79548.0,61.2
1073,Employee_73,Finance,Islamabad,32.0,8.0,75649.0,74.7
1074,Employee_74,HR,Multan,39.0,14.0,93261.0,70.9
1075,Employee_75,HR,Islamabad,35.0,12.0,74832.0,74.6
1076,Employee_76,Finance,,,0.0,,
1077,Employee_77,Sales,Multan,26.0,6.0,65820.0,61.4
1078,Employee_78,Marketing,Faisalabad,30.0,8.0,63213.0,70.1
1079,Employee_79,Marketing,Karachi,19.0,0.0,43083.0,69.1
1080,Employee_80,Marketing,Karachi,31.0,11.0,81168.0,58.5
1081,Employee_81,HR,Lahore,31.0,7.0,61703.0,63.5
1082,Employee_82,HR,Multan,32.0,10.0,74965.0,66.6
1083,Employee_83,Sales,Faisalabad,42.0,18.0,94640.0,80.5
1084,Employee_84,Marketing,Islamabad,39.0,16.0,103082.0,78.9
1085,Employee_85,Marketing,Karachi,34.0,7.0,63264.0,62.0
1086,Employee_86,Finance,Karachi,24.0,2.0,50215.0,58.5
1087,Employee_87,HR,Islamabad,21.0,2.0,49455.0,57.8
1088,Employee_88,Marketing,Faisalabad,22.0,0.0,45432.0,57.9
1089,Employee_89,Sales,Faisalabad,24.0,4.0,52267.0,66.1
1090,Employee_90,Sales,Multan,33.0,9.0,72315.0,76.3
1091,Employee_91,Marketing,Multan,28.0,6.0,63236.0,73.5
1092,Employee_92,HR,Lahore,30.0,8.0,71490.0,73.5
1093,Employee_93,Sales,Karachi,28.0,6.0,65617.0,62.0
1094,Employee_94,Finance,Multan,31.0,8.0,66090.0,69.6
1095,Employee_95,Sales,Faisalabad,28.0,7.0,61843.0,82.6
1096,Employee_96,Engineering,Islamabad,35.0,11.0,83940.0,79.3
1097,Employee_97,Engineering,Faisalabad,25.0,1.0,35352.0,58.6
1098,Employee_98,HR,Karachi,21.0,0.0,46280.0,69.5
1099,Employee_99,Marketing,,,15.0,,
1100,Employee_100,HR,Lahore,25.0,4.0,53982.0,60.8
1101,Employee_101,HR,Karachi,25.0,2.0,44271.0,70.8
1102,Employee_102,HR,Islamabad,33.0,11.0,78307.0,65.3
1103,Employee_103,HR,Lahore,30.0,7.0,69585.0,56.9
1104,Employee_104,Finance,Karachi,28.0,2.0,50083.0,68.0
1105,Employee_105,Finance,Islamabad,22.0,0.0,41971.0,60.2
